company_name,cik,source_record_id,address_street,address_city,address_state,address_zip,address_country,source_name,website_url,contact_name,contact_email,phone,notes
"TRANSCHROMIX, LLC.",,1R41DA064241-01,,Chapel Hill,NC,275141859,,NIH RePORTER API,,Xian  Chen,,,
"PETCOIL, INC.",,1R43DE035410-01,,Sunnyvale,CA,94085,,NIH RePORTER API,,Chenming  Chang,,,
BIOSYFT INC.,,1R41DA064482-01,,Seattle,WA,981027017,,NIH RePORTER API,,Anthony Edward English,,,
"SKM INSTRUMENTS, LLC",,1R43DA064718-01,,Laramie,WY,82070,,NIH RePORTER API,,Keith  Carron,,,
QUINTERO & KONTOPOULOS PLLC,,1R43DK146580-01,,Coral Gables,FL,331461515,,NIH RePORTER API,,Ruben  Quintero,,,
"CMTX BIOTECH, INC.",,1R41DK143771-01A1,,Kings Park,NY,117541747,,NIH RePORTER API,,Lori A Birder,,,
BIOTA INC.,,1R43ES038797-01,,Fort Collins,CO,805243011,,NIH RePORTER API,,Rose T Byrne-Nash,,,
"CELDARA MEDICAL, LLC",,1R43TR006062-01A1,,Lebanon,NH,037661441,,NIH RePORTER API,,Joana M Murad,,,
"AIGENE, INC.",,1R43TR005928-01A1,,Aurora,CO,800457335,,NIH RePORTER API,,Floyd  Taub,,,
"POTOMAC AFFINITY PROTEINS, LLC",,1R43GM159468-01A1,,North Potomac,MD,208782566,,NIH RePORTER API,,Philip N Bryan,,,
"ADAMAS NANOTECHNOLOGIES, INC.",,1R43GM165231-01,,Raleigh,NC,276177300,,NIH RePORTER API,,Nicholas  Nunn,,,
NEFER KA LLC,,1R43DA064773-01,,Newton Lower Falls,MA,024621317,,NIH RePORTER API,,Magued  Nasr,,,
ALPACURE LLC,,1R43AI191918-01A1,,Portland,OR,972162028,,NIH RePORTER API,,Timothy Andrew Bates,,,
AI SOLUTIONS 87 LLC,,1R43ES038793-01,,West Bend,WI,530959295,,NIH RePORTER API,,Gregory Paul Behm,,,
"INVIZYNE TECHNOLOGIES, INC.",,2R44GM159516-05A1,,Monrovia,CA,910166357,,NIH RePORTER API,,Tyler P Korman,,,
"TALUS BIOSCIENCE, INC.",,1R44TR005930-01A1,,Seattle,WA,98122,,NIH RePORTER API,,William Ellis Fondrie,,,
HERE & NOW SYSTEMS LLC,,1R43AA031938-01A1,,Anchorage,AK,995044730,,NIH RePORTER API,,Patrick  Dulin,,,
SCIENTIFIC HORIZONS CONSULTING LLC,,1R43DA065300-01,,Irvine,CA,926173231,,NIH RePORTER API,,Xiang  Gao,,,
"IASO THERAPEUTICS, INC.",,1R43AI197624-01,,East Lansing,MI,488235606,,NIH RePORTER API,,Herbert Wanjala Kavunja,,,
"MB RESEARCH LABORATORIES, INC.",,1R43ES038438-01,,Spinnerstown,PA,189680178,,NIH RePORTER API,,George L. Degeorge,,,
CYTOTERRA INC.,,1R44TR005899-01A1,,Seattle,WA,98102,,NIH RePORTER API,,Stephen Matthew Eacker,,,
"SOLLUS THERAPEUTICS, INC.",,1R41TR006357-01,,Chapel Hill,NC,275164701,,NIH RePORTER API,,Joshua  Black,,,
METRICS WATER CATALYST LLC,,1R43ES038809-01,,Carefree,AZ,853774363,,NIH RePORTER API,,Ali  Shambayati,,,
JAVELIN BIOTECH,,1R43TR005374-01A1,,Woburn,MA,01801,,NIH RePORTER API,,Murat  Cirit,,,
BEHAVIOR CHANGE HUB LIMITED LIABILITY COMPANY,,1R42AA033287-01,,Boston,MA,02134,,NIH RePORTER API,,Molly  Magill,,,
"AUSPEX MEDIX, LLC",,1R43DC023170-01A1,,Williamsville,NY,142218501,,NIH RePORTER API,,Wei  Bo,,,
